,City
0,mirnyy
1,faanui
2,karaul
3,klaksvik
4,jamestown
5,cidreira
6,inderborskiy
7,bahia honda
8,yellowknife
9,sola
10,castro
11,warqla
12,hobart
13,ozernovskiy
14,ahipara
15,hermanus
16,moron
17,punta arenas
18,upernavik
19,grand river south east
20,nome
21,puerto ayora
22,tura
23,kenai
24,butaritari
25,najran
26,bluff
27,port alfred
28,novokruchininskiy
29,constitucion
30,camiri
31,qidong
32,souillac
33,east london
34,lyantonde
35,mataura
36,severodvinsk
37,shimoda
38,chokurdakh
39,ushuaia
40,rajsamand
41,qaanaaq
42,georgetown
43,basavakalyan
44,hobyo
45,mujiayingzi
46,lompoc
47,barrow
48,palmas bellas
49,upata
50,hithadhoo
51,vardo
52,snasa
53,saint george
54,provideniya
55,new norfolk
56,arraial do cabo
57,esperance
58,bukama
59,kerchevskiy
60,vaini
61,nouakchott
62,helong
63,sao felix do xingu
64,zhanatas
65,naze
66,rawson
67,mys shmidta
68,taolanaro
69,guhagar
70,bengkulu
71,north bend
72,la ronge
73,ilhabela
74,katsuura
75,puerto madero
76,samfya
77,rikitea
78,santa marta
79,bureya
80,tuktoyaktuk
81,kavaratti
82,busselton
83,marapanim
84,anloga
85,yarim
86,nizhneyansk
87,svetlyy
88,suntar
89,kozhva
90,petropavlovsk-kamchatskiy
91,turbat
92,tikhvin
93,mar del plata
94,myaundzha
95,meulaboh
96,santa cruz
97,bredasdorp
98,prince rupert
99,toliary
100,komsomolskiy
101,chuy
102,bethel
103,mahebourg
104,samagaltay
105,ribeira grande
106,attawapiskat
107,tsumeb
108,fortuna
109,sistranda
110,bathsheba
111,alofi
112,skopelos
113,ningxiang
114,faro
115,amderma
116,talnakh
117,shelburne
118,saskylakh
119,cherskiy
120,mae ramat
121,port elizabeth
122,sijunjung
123,ust-bolsheretsk
124,copiapo
125,avarua
126,khatanga
127,owensboro
128,ilulissat
129,poum
130,aktash
131,yanchukan
132,saint-philippe
133,maceio
134,antalaha
135,camacha
136,volosovo
137,kamenskoye
138,tomohon
139,jardim
140,rio gallegos
141,novoagansk
142,brookings
143,kiunga
144,albany
145,cheuskiny
146,aksay
147,bone
148,hay river
149,norman wells
150,vila franca do campo
151,serpa
152,zavetnoye
153,bambous virieux
154,flinders
155,hilo
156,alice springs
157,nouadhibou
158,catuday
159,tuatapere
160,ivdel
161,cururupu
162,puerto leguizamo
163,lebu
164,mehamn
165,port angeles
166,jalu
167,clyde river
168,ewa beach
169,miranda
170,colares
171,dalinghe
172,leningradskiy
173,coihaique
174,obo
175,toba
176,atherton
177,codrington
178,margate
179,tiksi
180,taoudenni
181,berlevag
182,port said
183,carnarvon
184,atuona
185,coahuayana
186,college
187,tsihombe
188,la trinitaria
189,saint-georges
190,dawei
191,vilyuysk
192,salalah
193,saint-pierre
194,denpasar
195,udachnyy
196,paucartambo
197,belushya guba
198,morondava
199,tarakan
200,banda aceh
201,port lincoln
202,dikson
203,torbay
204,u thong
205,kapaa
206,aban
207,bongouanou
208,hasaki
209,hammerfest
210,iqaluit
211,mount gambier
212,gohpur
213,comodoro rivadavia
214,acari
215,kahului
216,popondetta
217,san fernando
218,glenluce
219,pierre
220,mnogovershinnyy
221,huarmey
222,barabai
223,kamiiso
224,mizan teferi
225,aransas pass
226,iwanai
227,haines junction
228,pisco
229,cayenne
230,mecca
231,mount pleasant
232,nicoya
233,salinas
234,labuhan
235,bandipur
236,airai
237,bilma
238,kaitangata
239,ofaqim
240,lorengau
241,dalbandin
242,cape town
243,xuddur
244,saint-augustin
245,gboko
246,kainantu
247,thunder bay
248,male
249,barra do corda
250,khonuu
251,porto santo
252,xichang
253,axim
254,tucuma
255,dali
256,ambulu
257,altay
258,magalia
259,gwadar
260,olinda
261,fredericksburg
262,savinka
263,vostok
264,warrington
265,sambava
266,lahij
267,los llanos de aridane
268,cody
269,touros
270,mampong
271,nanpiao
272,cabo san lucas
273,havelock
274,thompson
275,sao desiderio
276,alta floresta
277,victoria
278,kadykchan
279,westport
280,kodiak
281,sotnikovskoye
282,sumbawa
283,pevek
284,koumac
285,cabedelo
286,beloha
287,muros
288,nabire
289,severo-kurilsk
290,geraldton
291,caxito
292,gat
293,komsomolets
294,halalo
295,nanortalik
296,chagda
297,hofn
298,santa isabel do rio negro
299,olafsvik
300,calategas
301,kavieng
302,moranbah
303,carutapera
304,lucapa
305,kargat
306,fort saint james
307,san alberto
308,hunza
309,tupik
310,milkovo
311,kutum
312,illoqqortoormiut
313,burgos
314,sandviken
315,san bartolome de tirajana
316,ponta do sol
317,aksu
318,ukiah
