,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,mirnyy,100,RU,1572988000,76,56.57,36.46,10.05,7.46
1,faanui,14,PF,1572988000,72,-16.48,-151.75,27.23,3.35
2,karaul,,,,,,,,
3,klaksvik,98,FO,1572988000,64,62.23,-6.59,2,4.1
4,jamestown,14,AU,1572988000,39,-33.21,138.6,13.84,3.24
5,cidreira,93,BR,1572988000,78,-30.17,-50.22,19.98,7.07
6,inderborskiy,,,,,,,,
7,bahia honda,28,CU,1572988001,76,22.9,-83.16,27.33,5.38
8,yellowknife,90,CA,1572988001,66,62.45,-114.38,-10,6.2
9,sola,48,TZ,1572988001,67,-3.17,33.8,22.45,3.33
10,castro,75,CL,1572988001,76,-42.48,-73.76,11,5.1
11,warqla,,,,,,,,
12,hobart,20,AU,1572987921,54,-42.88,147.33,12.78,5.7
13,ozernovskiy,100,RU,1572988002,78,51.5,156.52,3.38,9.4
14,ahipara,100,NZ,1572988002,78,-35.17,173.16,23.89,1.33
15,hermanus,69,ZA,1572988002,85,-34.42,19.24,17.78,0.45
16,moron,5,HT,1572988002,78,18.56,-74.26,27.49,4.65
17,punta arenas,75,CL,1572988002,86,-53.16,-70.91,6,12.3
18,upernavik,100,GL,1572988002,66,72.79,-56.15,-8.4,2.11
19,grand river south east,,,,,,,,
20,nome,1,US,1572988002,57,30.04,-94.42,28,3.6
21,puerto ayora,20,EC,1572988002,57,-0.74,-90.35,27,8.7
22,tura,100,RU,1572988003,98,64.27,100.22,-20.61,1.85
23,kenai,75,US,1572988003,64,60.55,-151.26,4.44,6.7
24,butaritari,0,KI,1572988003,76,3.07,172.79,28.94,5.54
25,najran,0,SA,1572988003,32,17.54,44.22,21,3.1
26,bluff,38,AU,1572988003,26,-23.58,149.07,19.17,4.2
27,port alfred,100,ZA,1572988003,91,-33.59,26.89,18.33,2.99
28,novokruchininskiy,98,RU,1572988003,92,51.78,113.77,-13,1
29,constitucion,75,MX,1572987741,36,23.99,-104.67,24,1
30,camiri,75,BO,1572988004,65,-20.04,-63.52,27,1.01
31,qidong,0,CN,1572988004,77,31.81,121.66,15,1.56
32,souillac,75,FR,1572988004,87,45.6,-0.6,10,4.1
33,east london,100,ZA,1572988004,91,-33.02,27.91,20.83,3.64
34,lyantonde,76,UG,1572988004,85,-0.41,31.15,17.01,1.76
35,mataura,93,NZ,1572988004,89,-46.19,168.86,10.57,1.88
36,severodvinsk,40,RU,1572988004,92,64.56,39.82,-13,1.84
37,shimoda,0,JP,1572988004,98,34.7,138.93,10,2.68
38,chokurdakh,97,RU,1572988004,94,70.62,147.9,-15.97,2.72
39,ushuaia,40,AR,1572988005,75,-54.81,-68.31,6,8.7
40,rajsamand,95,IN,1572988005,43,25.06,73.89,21.44,1.46
41,qaanaaq,88,GL,1572988005,59,77.48,-69.36,-15.04,4.54
42,georgetown,20,GY,1572987928,83,6.8,-58.16,29,3.1
43,basavakalyan,76,IN,1572988005,80,17.88,76.95,21.07,1.17
44,hobyo,94,SO,1572988005,82,5.35,48.53,26.26,4.22
45,mujiayingzi,78,CN,1572988005,61,42.12,118.78,1.92,2.4
46,lompoc,1,US,1572988005,14,34.64,-120.46,28,2.6
47,barrow,0,AR,1572988005,51,-38.31,-60.23,17.4,3.66
48,palmas bellas,75,PA,1572988006,83,9.23,-80.09,29,1
49,upata,57,VE,1572988006,77,8.02,-62.41,28.89,4.47
50,hithadhoo,68,MV,1572987748,73,-0.6,73.08,27.57,3.1
51,vardo,90,US,1572988006,50,39.62,-77.74,17.78,1.5
52,snasa,100,NO,1572988007,92,64.25,12.38,-9,1
53,saint george,20,GR,1572988007,82,39.45,22.34,13,2.1
54,provideniya,75,RU,1572988007,79,64.42,-173.23,-3,3
55,new norfolk,20,AU,1572988007,54,-42.78,147.06,12.78,5.7
56,arraial do cabo,91,BR,1572988007,74,-22.97,-42.02,32,4.6
57,esperance,90,AU,1572988007,76,-33.86,121.89,13,3.6
58,bukama,100,CD,1572988007,94,-9.2,25.85,19.47,2.43
59,kerchevskiy,100,RU,1572988007,98,59.95,56.29,1.35,2.16
60,vaini,63,IN,1572988008,93,15.34,74.49,20.78,0.33
61,nouakchott,34,MR,1572988008,25,18.08,-15.98,31,6.2
62,helong,0,CN,1572988008,81,25.94,116.13,10.7,1.04
63,sao felix do xingu,100,BR,1572987738,55,-6.64,-51.99,29.84,1.16
64,zhanatas,,,,,,,,
65,naze,75,NG,1572987726,94,5.43,7.07,24,1.55
66,rawson,20,AR,1572988008,22,-43.3,-65.11,25,12.3
67,mys shmidta,,,,,,,,
68,taolanaro,,,,,,,,
69,guhagar,71,IN,1572988008,77,17.48,73.19,27.39,2.94
70,bengkulu,,,,,,,,
71,north bend,1,US,1572988009,82,43.41,-124.22,15.56,4.1
72,la ronge,75,CA,1572988009,62,55.1,-105.3,-7,6.7
73,ilhabela,100,BR,1572987878,77,-23.78,-45.36,25.53,10.07
74,katsuura,75,JP,1572988009,81,33.93,134.5,9,5.7
75,puerto madero,0,AR,1572988009,46,-34.61,-58.36,27.22,4.6
76,samfya,0,ZM,1572988009,69,-11.37,29.56,20.17,2.62
77,rikitea,0,PF,1572988009,80,-23.12,-134.97,24.84,2.4
78,santa marta,75,CO,1572988010,70,11.24,-74.21,32,2.6
79,bureya,23,RU,1572988010,70,49.81,129.81,-10,4.48
80,tuktoyaktuk,40,CA,1572988010,78,69.44,-133.03,-9,7.2
81,kavaratti,11,IN,1572987764,82,10.57,72.64,27.2,5.81
82,busselton,28,AU,1572988010,68,-33.64,115.35,8.89,2.82
83,marapanim,4,BR,1572988010,79,-0.71,-47.7,27.88,7.23
84,anloga,20,GH,1572988010,83,5.79,0.9,28,2.6
85,yarim,0,YE,1572988010,39,14.3,44.38,11.69,5.24
86,nizhneyansk,,,,,,,,
87,svetlyy,,,,,,,,
88,suntar,89,RU,1572988010,90,62.16,117.65,-20.31,2.35
89,kozhva,100,RU,1572988011,94,65.11,57.05,-8.32,2.85
90,petropavlovsk-kamchatskiy,20,RU,1572988011,64,53.05,158.65,3,2
91,turbat,0,PK,1572988011,26,26,63.05,26.1,4.24
92,tikhvin,100,RU,1572988011,91,59.64,33.53,-1.67,25.48
93,mar del plata,100,AR,1572988011,25,-46.43,-67.52,21.29,15.13
94,myaundzha,65,RU,1572988011,88,63.05,147.18,-16.41,2.68
95,meulaboh,74,ID,1572988011,83,4.14,96.13,26.07,3.34
96,santa cruz,25,BR,1572988011,65,-6.22,-36.02,24.98,4.91
97,bredasdorp,89,ZA,1572988011,63,-34.53,20.04,17,3.1
98,prince rupert,90,CA,1572988011,87,54.32,-130.32,10,3.1
99,toliary,,,,,,,,
100,komsomolskiy,100,RU,1572988011,93,67.55,63.78,-5.53,8.69
101,chuy,0,UY,1572988012,62,-33.69,-53.46,17,3.73
102,bethel,90,US,1572988012,92,60.79,-161.76,-3,11.85
103,mahebourg,40,MU,1572988012,94,-20.41,57.7,22,1
104,samagaltay,42,RU,1572988012,79,50.6,95,-5.97,0.51
105,ribeira grande,75,PT,1572988012,67,38.52,-28.7,16,3.1
106,attawapiskat,,,,,,,,
107,tsumeb,56,NA,1572988012,35,-19.25,17.72,25.17,1.24
108,fortuna,1,US,1572988012,87,40.6,-124.16,19.44,5.1
109,sistranda,75,NO,1572988013,86,63.73,8.83,-2.78,3.6
